Key;Issue id;Summary;Priority;Custom field (Test Type);Resolution;Created;Custom field (TestRunStatus);Reporter;Assignee;Custom field (Test Repository Path);Custom field (Lokasyon Text);Custom field (Location Code);Inward issue link (Defect);Inward issue link (Defect);Outward issue link (Defect);Outward issue link (Gantt End to End);Inward issue link (Gantt End to Start);Inward issue link (Parents);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Tests)
CONG-8235;1377999;Adblue yetkisi bulunmayan kullanıcı ile Adblue masraf tipinde Kaydet butonuna tıklandığında aksiyon alınmamaktadır.;Medium;;Done;13/Oct/22 7:53 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-1189;;;;
CONG-8236;1378200;Araç sahibi ile Taksi / Transfer masraf tipinde Kaydet butonuna tıklandığında aksiyon alınmamaktadır.;Medium;;Done;13/Oct/22 7:56 PM;;C9015107;C9013486;;;;;;;;;PRJ-757;CONG-4976;;;;
CONG-8283;1387485;Polonya kullanıcısı ile Mali Isler Grubu seçilmeden Kaydet butonuna tıklandığında Account Group Listin zorunlu alan olarak gösterilmesi yerine status code 400 hatası alınmaktadır.;Medium;;Done;18/Oct/22 10:16 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8282;;;;
CONG-8365;1390185;Polonya kullanıcısı ile 450.01 PLN tutarı ile limit aşıldığında gelen iş kesici mesajın Polish dilinde iken İngilizce gözüktüğü görülmektedir.;Medium;;Done;19/Oct/22 9:28 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8364;;;;
CONG-8492;1396869;"Polonya kullanıcı ile bir masraf Kaydedilmek istendiğinde farklı referans kodu kullanılsa da, ekranda aynı Referans Kodunun kullanıldığı iş kesici mesajı gelmektedir.";Blocker;;Done;21/Oct/22 9:15 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8312;;;;
CONG-8548;1403200;Sözleşmeler test ekranına gelmiyor;Medium;;Done;24/Oct/22 9:49 AM;;26049792;26049796;;;;CONG-5111;;;;;PRJ-757;;;;;
CONG-8551;1403187;Onaylanan talep son onaycının tekrar onayına düşmektedir;Medium;;Done;24/Oct/22 9:57 AM;;C9013624;26049796;;;;CONG-5422;;;;;;;;;;
CONG-8655;1413718;PYP No alanı boş şekilde formun gönderilmesi;Medium;;Done;27/Oct/22 1:24 PM;;26075059;C9015107;;;;CONG-8889;;;;;PRJ-757;CONG-8889;;;;
CONG-8738;1421578;"Serviste hata veriyor ""DropDownName=GLCode&CompanyCode=0244&Language=EN  "" ";Medium;;Done;01/Nov/22 10:07 AM;;C9018649;26065609;;;;CONG-5585;;;;;;;;;;
CONG-8739;1421647;Drowdown Menu Servisi hata almaktadır;Medium;;Done;01/Nov/22 10:07 AM;;C9013624;26065609;;;;CONG-5585;;;;;;;;;;
CONG-8797;1424938;Romanya kullanıcısı ile Car Washing masraf tipinde masraf talebi oluşturulmak istendiğinde limite takılması gerekirken takılmadığı görülmektedir.;Medium;;Done;02/Nov/22 12:50 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-7739;;;;
CONG-8813;1426207;Polonya requester ile Car Washing ve Meals masraf tipinde masraf talebi oluşturulmak için Kaydet butonuna tıklandığında ProcessAction hatası alınmaktadır.;Medium;;Done;02/Nov/22 4:04 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8324;;;;
CONG-8816;1427311;Tr kullanıcısı ile sayfa Türkçe dilindeyken de İngilizce olarak yansımaktadır ve dün yapılan çalışmayla birlikte iş kesici uyarı mesaj textlerinin de değiştiği görülmektedir.;Medium;;Done;03/Nov/22 9:24 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-4367;;;;
CONG-8831;1428416;Türkiye mali işler kullanıcısı ile onaylanan tutar textbox'ının gözükmediği ve mali işlerde bu sebeple talep edilen tutarda değişiklik yapılamadığı görülmektedir.;Medium;;Done;03/Nov/22 3:11 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-4973;;;;
