Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-6525;1262635;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;14/Aug/22 7:47 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6524;1262634;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;14/Aug/22 7:47 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6523;1262633;Farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;14/Aug/22 7:46 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6522;1262632;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;14/Aug/22 7:45 PM;TODO;C9029068;C9029068;/Fatura/Italya/RegresyonSeti
CONG-6521;1262631;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;14/Aug/22 7:42 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6520;1262630;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;14/Aug/22 7:41 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6509;1261472;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 3:17 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6508;1261469;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 3:16 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6507;1261468;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 3:14 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6506;1261467;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 3:13 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6505;1261465;"Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 3:12 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6504;1261464;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 3:12 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6503;1261462;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 3:08 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6502;1261460;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 3:05 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6499;1260790;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 2:50 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6498;1260789;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 2:49 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6497;1260787;"Müşteriden Gelen Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 2:48 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6496;1260786;Müşteriden Gelen farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 2:47 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6495;1260785;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 2:46 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6494;1260784;Müşteriden Gelen Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 2:45 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6492;1260777;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;12/Aug/22 2:33 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
CONG-6491;1260776;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;12/Aug/22 2:33 PM;TODO;C9029068;C9029068;/Fatura/Polonya/RegresyonSeti
